title,year,duration,country,avg_vote,votes
Superman and the Mole-Men,1951,58,USA,5.7,1698
La spada di Montecristo,1951,80,USA,4.9,122
Take Care of My Little Girl,1951,93,USA,6.5,279
Bersaglio eccellente,1951,78,USA,7.2,1646
Arrivano i carri armati,1951,90,USA,6.3,228
I 10 della legione,1951,97,USA,6.2,822
Teresa,1951,102,USA,6.5,569
La sirena del circo,1951,77,USA,5.7,428
Il sergente Carver,1951,74,USA,6.2,262
Quel fenomeno di mio figlio,1951,104,USA,6.3,859
La 'cosa' da un altro mondo,1951,87,USA,7.1,24910
Le vie del cielo,1951,90,USA,6.2,620
La campana del convento,1951,84,USA,6.7,615
Tomahawk - Scure di guerra,1951,82,USA,6.4,717
Gli uomini perdonano,1951,90,USA,7,895
L'ingenua maliziosa,1951,91,USA,6.3,457
L'oro maledetto,1952,82,USA,6.4,172
Two Dollar Bettor,1951,72,USA,6.3,139
Quattro ragazze all'abbordaggio,1951,106,USA,5.6,448
Ai confini del delitto,1951,75,USA,6.6,521
Lo sconosciuto,1951,86,USA,6.5,365
Unknown World,1951,74,USA,3.9,891
Rodolfo Valentino,1951,102,USA,5.9,262
La valle della vendetta,1951,83,USA,5.9,1924
Sentiero di guerra,1951,95,USA,6.3,376
Vedovo cerca moglie,1951,83,USA,6.1,220
La bambina nel pozzo,1951,86,USA,7.2,680
Donne verso l'ignoto,1951,118,USA,7.6,2680
Quando i mondi si scontrano,1951,83,USA,6.6,6994
The Whip Hand,1951,82,USA,6,523
You Never Can Tell,1951,78,USA,7.2,534
Il comandante Johnny,1951,93,USA,6.4,573
Operazione Cicero,1952,108,USA,7.7,4163
Aaron Slick from Punkin Crick,1952,95,USA,5.1,106
Kidd il pirata,1952,70,USA,5.9,1967
About Face,1952,94,USA,5.4,114
Il prezzo del dovere,1952,122,USA,6.9,1063
Actors and Sin,1952,82,USA,5.3,123
Trinidad,1952,98,USA,6.6,1961
African Treasure,1952,70,USA,5.5,144
Contro tutte le bandiere,1952,84,USA,6.6,2308
Androclo e il leone,1952,98,USA,6.2,762
Seduzione mortale,1953,91,USA,7.3,6637
Tutto può accadere,1952,107,USA,6.4,114
L'assedio degli Apaches,1952,67,USA,5.8,172
Aprile a Parigi,1952,100,USA,6.1,1119
Destinazione Budapest,1952,85,USA,6.2,380
I figli dei moschettieri,1952,81,USA,6,649
La città atomica,1952,85,USA,6.1,385
Bowery to Bagdad,1955,64,USA,6.4,310
Il bruto e la bella,1952,118,USA,7.8,12941
Uragano su Yalù,1952,81,USA,5.4,130
Kociss l'eroe indiano,1952,85,USA,6.4,571
Lo sparviero di Fort Niagara,1952,72,USA,5.9,141
Da quando sei mia,1952,103,USA,6,300
Perdonami se mi ami,1952,95,USA,6.7,173
Bela Lugosi e il gorilla di Brooklyn,1952,74,USA,3.7,2142
La bella di New York,1952,82,USA,6.2,822
Ragazze alla finestra,1952,89,USA,6.7,865
Là dove scende il fiume,1952,91,USA,7.3,7557
La jena di Oakland,1952,77,USA,6.7,1563
Marijuana (La droga infernale),1952,90,USA,5.4,1896
Il grande cielo,1952,140,USA,7,3814
Il tesoro dei Sequoia,1952,89,USA,5.7,1429
Il mistero del castello nero,1952,82,USA,6.4,1044
Il pirata Barbanera,1952,99,USA,6.1,1317
Blackhawk: Fearless Champion of Freedom,1952,242,USA,6.9,131
L'urlo della foresta,1952,90,USA,6.3,115
Paradiso notturno,1952,90,USA,6.2,211
Bomba and the Jungle Girl,1952,70,USA,5.8,132
Bonzo Goes to College,1952,80,USA,5.3,120
La vita che sognava,1952,102,USA,7,335
Sul sentiero di guerra,1952,73,USA,4.8,116
Salvate il re,1952,94,USA,5.9,139
Squilli al tramonto,1952,85,USA,5.9,308
La jena del Missouri,1952,70,USA,5.7,252
Bwana Devil,1952,79,USA,4.9,324
La conquista della California,1952,78,USA,5.1,160
Il corsaro,1952,85,USA,6.2,238
La città prigioniera,1952,91,USA,6.6,917
Carabina Williams,1952,92,USA,7,1747
L'oro dei Caraibi,1952,97,USA,6,167
Gli occhi che non sorrisero,1952,118,USA,7.3,2076
Nevada Express,1952,87,USA,6.4,874
Cattle Town,1952,71,USA,5.4,135
La confessione della signora Doyle,1952,105,USA,7.1,5534
Il pagliaccio,1953,91,USA,6.6,349
Colorado Sundown,1952,67,USA,6.3,106
"Torna, piccola Sheba",1952,99,USA,7.5,4383
Confidence Girl,1952,81,USA,6.1,171
Contrabbando per l'oriente,1952,78,USA,5.9,268
L'ultima minaccia,1952,87,USA,7.2,2998
La grande avventura del generale Palmer,1952,89,USA,5.8,411
Desert Passage,1952,62,USA,5.7,147
Disperata ricerca,1952,73,USA,5.9,224
I lupi mannari,1952,96,USA,6.2,403
Corriere diplomatico,1952,97,USA,6.9,919
La tua bocca brucia,1952,76,USA,6.9,5842
Primo peccato,1952,83,USA,6.8,650
Duello al Rio d'argento,1952,77,USA,6.4,1347
Otto uomini di ferro,1952,80,USA,6.6,507
La ragazza della domenica,1952,92,USA,5.8,141
La valle dei desperados,1952,69,USA,7,139
Fearless Fagan,1952,79,USA,5.9,257
Feudin' Fools,1952,63,USA,6.3,260
The Fighter,1952,78,USA,6,106
The First Time,1952,89,USA,6,121
Flat Top,1952,83,USA,6.1,414
Furia e passione,1952,83,USA,6.6,315
Il passo di Forte Osage,1952,72,USA,6,137
Letto matrimoniale,1952,103,USA,5.7,162
Francis all'accademia,1952,81,USA,6.5,372
Una ragazza in ogni porto,1952,86,USA,5.3,554
La dama bianca,1952,92,USA,6.8,340
La strada dell'eternità,1952,79,USA,6.1,429
Fuoco a Cartagena,1952,83,USA,5.5,231
Il più grande spettacolo del mondo,1952,152,USA,6.6,12569
La carica degli apaches,1952,81,USA,5.1,195
Il nodo del carnefice,1952,81,USA,6.7,1259
Il favoloso Andersen,1952,112,USA,6.9,3359
Tempo felice,1952,94,USA,6.9,451
Hellgate - Il grande inferno,1952,87,USA,6.5,340
Here Come the Marines,1952,66,USA,6.2,222
Here Come the Nelsons,1952,75,USA,6.4,209
Mezzogiorno di fuoco,1952,85,USA,7.9,95573
Hold That Line,1952,67,USA,6.3,248
Holiday for Sinners,1952,72,USA,6,132
L'impero dei gangster,1952,98,USA,5.9,245
Dan il terribile,1952,81,USA,6.2,780
I pirati della Croce del Sud,1952,90,USA,5.3,139
Canzone del Mississipi,1952,90,USA,6.1,166
Invasione USA,1952,73,USA,3.2,1213
Perfido invito,1952,84,USA,6.8,506
L'amante di ferro,1952,110,USA,6.4,719
It Grows on Trees,1952,84,USA,6.7,253
Il giardino incantato,1952,70,USA,6,2762
Il cantante di jazz,1952,107,USA,5.7,302
Il caporale Sam,1952,96,USA,6.4,881
Jim della giungla e gli uomini scimmia,1952,65,USA,6.2,305
Lo sprecone,1952,90,USA,6.2,292
Il sogno dei miei vent'anni,1952,104,USA,6.1,299
Kangarù,1952,84,USA,5.5,258
Il quarto uomo,1952,99,USA,7.4,5948
The Kid from Broken Gun,1952,55,USA,6.7,106
Kid Monk Baroni,1952,79,USA,6.3,114
La città del piacere,1952,88,USA,6.4,1131
Nuvola nera,1953,85,USA,6.4,638
Luci della ribalta,1952,137,USA,8.1,17670
Fulmine nero,1952,83,USA,6.2,121
Banditi senza mitra,1952,80,USA,6.3,414
Gianni e Pinotto al Polo Nord,1952,76,USA,6.4,1852
Marito per forza,1952,81,USA,5.7,441
Modelle di lusso,1952,103,USA,6.3,599
Prigionieri della palude,1952,93,USA,6.5,290
Il temerario,1952,113,USA,7.4,2407
La rivolta di Haiti,1952,89,USA,6.3,156
Ma and Pa Kettle at the Fair,1952,78,USA,7,522
L'avventuriero di Macao,1952,81,USA,6.7,2741
La meticcia di Sacramento,1953,82,USA,6,528
La croce di diamanti,1952,98,USA,6.1,367
Vivere insieme,1952,92,USA,7.1,1187
Lasciami sognare,1952,88,USA,6.4,292
Il membro del matrimonio,1952,93,USA,6.8,1282
La vedova allegra,1952,105,USA,5.8,524
La ninfa degli antipodi,1952,115,USA,6.6,1243
Nostra signora di Fatima,1952,102,USA,6.8,999
I miserabili,1952,105,USA,6.8,945
Il magnifico scherzo,1952,97,USA,7,12658
La regina dei desperados,1952,82,USA,5.7,400
Gli ammutinati dell'Atlantico,1952,77,USA,5.2,300
Mia cugina Rachele,1952,98,USA,7.1,2385
Il mio uomo,1952,99,USA,6.3,302
Senza madre,1952,83,USA,6.8,148
I miei sei forzati,1952,104,USA,6.7,280
L'amore più grande,1952,122,USA,5.6,533
L'eterna Eva,1952,87,USA,6,126
Lo sperone nudo,1953,91,USA,7.4,9880
Le jene di Chicago,1952,71,USA,7.7,6846
La divisa piace alle signore,1953,87,USA,6,418
New Faces,1954,98,USA,6.4,118
Notte di perdizione,1952,77,USA,6.2,119
No Holds Barred,1952,65,USA,6.2,271
Non c'è posto per lo sposo,1952,82,USA,6.4,401
La giostra umana,1952,117,USA,7.2,2143
Okinawa,1952,67,USA,5.2,139
La sceriffa dell'Oklahoma,1952,90,USA,5.4,110
Operazione 'z',1952,105,USA,5.9,546
Altra bandiera,1952,108,USA,6.2,145
I banditi di Poker Flat,1952,81,USA,6.4,223
Donne fuorilegge,1952,75,USA,5.2,103
Park Row,1952,83,USA,7.2,1454
Lui e lei,1952,95,USA,7,4993
La spia delle giubbe rosse,1952,78,USA,5.6,140
Paula,1952,80,USA,6.3,212
Telefonata a tre mogli,1952,105,USA,7,2157
Gli avventurieri di Plymouth,1952,105,USA,6.3,1186
L'ultima freccia,1952,82,USA,6,603
The Pride of St. Louis,1952,93,USA,6.6,618
Il prigioniero di Zenda,1952,96,USA,7,3225
Un uomo tranquillo,1952,129,USA,7.7,33851
I conquistatori della luna,1952,167,USA,4.7,800
La grande sparatoria,1952,80,USA,5.7,106
Rainbow 'Round My Shoulder,1952,78,USA,5.8,110
Rancho Notorious,1952,89,USA,7,3850
L'autocolonna rossa,1952,83,USA,6.3,497
Red Planet Mars,1952,87,USA,4.9,1139
Duello nella foresta,1952,99,USA,6.4,410
La ribelle del West,1953,81,USA,6.2,430
Valanga gialla,1952,95,USA,6.6,386
Il figlio di Texas,1952,88,USA,7,109
La valle dei bruti,1952,90,USA,6.2,159
The Ring,1952,79,USA,6.1,671
La principessa di Bali,1952,91,USA,6.5,4408
La marcia del disonore,1953,84,USA,6.1,141
C'è posto per tutti,1952,98,USA,7.2,1917
La vendicatrice dei sioux,1952,72,USA,5.2,122
"Ruby, fiore selvaggio",1952,82,USA,6.7,1348
Sally e i parenti picchiatelli,1952,90,USA,6.1,118
La peccatrice di San Francisco,1952,80,USA,6.3,251
Il giuramento dei sioux,1952,95,USA,6.1,481
Ultime della notte,1952,82,USA,7.4,1983
Scaramouche,1952,115,USA,7.5,5467
L'angelo scarlatto,1952,81,USA,6.4,181
Difendete la città,1952,83,USA,6.7,412
Il collegio si diverte,1952,104,USA,6.2,481
Cantando sotto la pioggia,1952,103,USA,8.3,213152
Gonne al vento,1952,109,USA,5.8,400
Sky Full of Moon,1952,73,USA,6.1,176
Nessuno mi salverà,1952,88,USA,7.2,2806
Le nevi del Chilimangiaro,1952,114,USA,6.2,4547
Qualcuno mi ama,1952,97,USA,6.7,296
Something for the Birds,1952,81,USA,6.3,144
Perdonami se ho peccato,1952,89,USA,6.5,244
Il figlio di Alì Babà,1952,75,USA,5.9,596
La maschera di fango,1952,93,USA,6.7,1705
La diva,1952,89,USA,7,3225
Squilli di primavera,1952,90,USA,7.2,748
La morsa d'acciaio,1952,85,USA,6.9,946
Il cantante matto,1951,100,USA,6.9,1290
Quattro morti irrequieti,1952,86,USA,6.2,256
The Story of Will Rogers,1952,109,USA,6.6,420
Strano fascino,1952,80,USA,6.3,165
So che mi ucciderai,1952,110,USA,7.5,4973
Talk About a Stranger,1952,65,USA,6.2,604
La furia di Tarzan,1952,81,USA,6,416
One Way Ticket to Hell,1955,61,USA,4,180
Eroi di mille leggende,1952,78,USA,5.4,124
La spia,1952,86,USA,6.7,871
Perdono,1952,100,USA,5.9,736
Three for Bedroom C,1952,74,USA,5.8,158
Furore sulla città,1952,85,USA,6.8,868
La frontiera indomita,1952,78,USA,6.1,325
Untamed Women,1952,70,USA,3.9,114
Viva Zapata!,1952,113,USA,7.4,10140
La tigre sacra,1952,67,USA,6.5,218
"Wait Till the Sun Shines, Nellie",1952,108,USA,7,238
Il delitto del secolo,1952,98,USA,6.1,262
Washington Story,1952,81,USA,6.2,217
Il grande gaucho,1952,87,USA,6.6,577
Matrimoni a sorpresa,1952,86,USA,6.3,1771
Uomini alla ventura,1952,111,USA,6.2,1110
When in Rome,1952,78,USA,6.6,240
Inferno bianco,1952,97,USA,6.6,683
Topkid eroe selvaggio,1952,70,USA,5.9,147
The Winning Team,1952,98,USA,6.5,841
La dominatrice del destino,1952,117,USA,6.8,1218
Sangue sotto la luna,1952,77,USA,6.7,405
Il mondo nelle mie braccia,1952,104,USA,6.9,1727
Il pirata yankee,1952,86,USA,6,260
You for Me,1952,71,USA,5.8,186
Avvocato di me stesso,1952,84,USA,6,357
Zombies of the Stratosphere,1952,167,USA,5.7,352
Il 49° uomo,1953,73,USA,6,152
Le 5.000 dita del dr.T,1953,89,USA,6.8,3684
Non cercate l'assassino,1953,83,USA,7.4,2511
Viaggio al pianeta Venere,1953,77,USA,6.1,3061
Gianni e Pinotto contro il dottor Jekyll,1953,76,USA,6.6,4024
L'attrice,1953,90,USA,6.5,1182
L'amore che ci incatena,1953,87,USA,5.7,426
The Affairs of Dobie Gillis,1953,72,USA,6.1,565
The All American,1953,83,USA,6,225
Marinai a terra,1953,80,USA,5.1,143
Desiderio di donna,1953,80,USA,7.1,1667
I fratelli senza paura,1953,95,USA,6.3,860
Terra bruciata,1953,73,USA,5.9,387
I ribelli dell'Honduras,1953,79,USA,5.7,473
Arena,1953,83,USA,5.2,218
La freccia insanguinata,1953,105,USA,5.8,1205
Il comandante del Flying Moon,1953,78,USA,5.8,172
Lontano dalle stelle,1953,83,USA,5.9,486
Spettacolo di varietà,1953,112,USA,7.5,9760
Essi vivranno!,1953,90,USA,6,1352
Il risveglio del dinosauro,1953,80,USA,6.7,6732
Tempeste sotto i mari,1953,102,USA,5.8,1195
Il grande caldo,1953,89,USA,8,22911
Il grande alleato,1953,71,USA,5.9,299
La grande nebbia,1953,80,USA,6.8,2968
Ballata selvaggia,1953,90,USA,6.4,834
Gardenia blu,1953,85,USA,6.9,4406
Assassinio premeditato,1953,77,USA,6.8,1316
I deportati di Botany Bay,1952,93,USA,6.1,439
Bright Road,1953,68,USA,6.6,546
By the Light of the Silvery Moon,1953,101,USA,7.1,1899
Occhio alla palla,1953,95,USA,6.5,1769
"Non sparare, baciami!",1953,101,USA,7.3,8288
Chiamatemi madame,1953,114,USA,6.8,1174
Canadian Mounties vs. Atomic Invaders,1953,167,USA,5.1,117
I conquistatori della Virginia,1953,75,USA,4.7,138
Captain Scarface,1953,72,USA,4.7,178
Il capitano rosso,1952,75,USA,4.8,277
Quei fantastici razzi volanti,1953,64,USA,3.9,1464
Destino a tre volti,1954,83,USA,6.5,231
L'indiana bianca,1953,95,USA,6.3,525
La città sommersa,1953,87,USA,5.5,438
La città che non dorme,1953,90,USA,6.8,1201
La città dei fuorilegge,1953,81,USA,6.1,257
Clipped Wings,1953,65,USA,6.3,267
Prendeteli vivi o morti,1953,69,USA,6.4,367
Il tenente dinamite,1953,84,USA,6.3,485
I professori non mangiano bistecche,1953,74,USA,5.9,213
La vendetta di Kociss,1953,70,USA,5.5,221
Le ore sono contate,1953,76,USA,6.2,435
Frustateli senza pietà,1953,82,USA,6.3,119
L'urlo dell'inseguito,1953,80,USA,6.4,245
Dance Hall Racket,1953,63,USA,3.3,154
Traversata pericolosa,1953,75,USA,7,1693
Nebbia sulla Manica,1953,95,USA,6.3,829
La legione del Sahara,1953,86,USA,5.6,263
I topi del deserto,1953,88,USA,6.8,4503
I cavalieri di Allah,1953,110,USA,6.2,413
Destinazione Mongolia,1953,90,USA,6.2,831
L'inferno di Yuma,1953,92,USA,5.2,328
Il cervello di Donovan,1953,84,USA,6,1361
I dragoni dell'aria,1954,82,USA,5.5,102
La sposa sognata,1953,100,USA,6,1699
Ad est di Sumatra,1953,82,USA,5.6,195
Fatta per amare,1953,96,USA,6.4,535
The Eddie Cantor Story,1953,115,USA,5.7,169
L'assedio delle sette frecce,1953,99,USA,6.7,2332
Il ribelle di Giava,1953,92,USA,5.8,282
The Farmer Takes a Wife,1953,81,USA,5.5,147
Fast Company,1953,67,USA,5.3,148
Paura e desiderio,1953,62,USA,5.5,9649
Resistenza eroica,1953,80,USA,5.7,118
Contrabbando a Tangeri,1953,90,USA,5.6,258
Contrabbandieri a Macao,1953,85,USA,6.6,374
Eternamente femmina,1953,93,USA,6.7,461
Forte Algeri,1953,78,USA,5.6,147
Forte T,1953,73,USA,5.2,168
La pattuglia delle giubbe rosse,1953,75,USA,5.9,193
Francis contro la camorra,1953,86,USA,6.7,265
Da qui all'eternità,1953,118,USA,7.6,42401
Gli uomini preferiscono le bionde,1953,91,USA,7.2,30759
The Girl Next Door,1953,92,USA,6.1,218
Vita inquieta,1953,69,USA,5.6,549
L'isola del piacere,1953,95,USA,6,123
Tre ragazze di Broadway,1953,82,USA,6.3,585
Il muro di vetro,1953,82,USA,6.8,615
Delitto alla televisione,1953,81,USA,6.6,328
Glen or Glenda,1953,65,USA,4.2,7859
Brigata di fuoco,1953,82,USA,6.1,260
La spada di Damasco,1953,81,USA,5.7,622
The Great Diamond Robbery,1954,70,USA,5.9,218
Bill West fratello degli indiani,1953,80,USA,5.6,269
Mani in alto!,1953,77,USA,5.9,241
Il suo onore gridava vendetta,1953,83,USA,6,1307
Il dominatore del Texas,1953,79,USA,6.8,879
Eroe a metà,1953,71,USA,5.8,211
Arrivan le ragazze,1953,78,USA,6,338
Il trono nero,1954,91,USA,6.2,1130
Hondo,1953,83,USA,7.1,9207
Il mago Houdini,1953,106,USA,6.9,2944
La maschera di cera,1953,88,USA,7.1,15747
Come sposare un milionario,1953,95,USA,6.9,20108
The I Don't Care Girl,1953,78,USA,6.4,177
I Love Melvin,1953,77,USA,6.7,746
La mia legge,1953,87,USA,6.1,318
Inferno,1953,83,USA,7.1,1182
L'isola nel cielo,1953,109,USA,6.9,3034
Destinazione Terra,1953,81,USA,6.5,8388
It Happens Every Thursday,1953,80,USA,6.3,206
Straniero in patria,1953,76,USA,5.1,111
Jack Slade l'indomabile,1953,90,USA,6.2,198
Jalopy,1953,62,USA,6.3,300
Giamaica,1953,92,USA,5.9,102
Jennifer,1953,73,USA,6,296
La marea della morte,1953,69,USA,6.8,1653
The Joe Louis Story,1953,88,USA,6.1,284
I perseguitati,1953,84,USA,6.6,510
Giulio Cesare,1953,120,USA,7.3,10153
L'assalto al Kansas Pacific,1953,73,USA,5.7,594
The Kid from Left Field,1953,80,USA,6.4,351
Killer Ape,1953,68,USA,6.4,232
La carica dei Kyber,1953,100,USA,6.4,652
Baciami kate!,1953,109,USA,7.1,5448
I cavalieri della tavola rotonda,1953,115,USA,6.3,3243
La signora vuole il visone,1953,92,USA,5.9,115
L'ultima resistenza,1953,73,USA,6.6,309
Amanti latini,1953,104,USA,5.5,419
Il giustiziere,1953,80,USA,5.9,640
Il diario di un condannato,1952,83,USA,6.4,1057
Ancora e sempre,1953,95,USA,5.9,315
Lili,1953,81,USA,7.4,3197
Un leone per la strada,1953,88,USA,6.2,566
Per ritrovarti,1953,95,USA,7,259
Il piccolo fuggitivo,1953,80,USA,7.5,2414
Il complice segreto,1953,80,USA,6.7,369
Loose in London,1953,62,USA,6.6,271
Ma and Pa Kettle on Vacation,1952,76,USA,7,452
Il mostro magnetico,1953,76,USA,5.8,1030
Il traditore di Fort Alamo,1953,79,USA,6.5,1640
L'uomo nell'ombra,1953,70,USA,6.3,529
Il labirinto,1953,80,USA,5.9,901
Mesa of Lost Women,1953,70,USA,2.7,1349
Pioggia,1953,91,USA,6,1318
Tempeste di fuoco,1953,85,USA,5.5,101
L'avventuriero della Louisiana,1953,99,USA,6.7,609
Allegri esploratori,1953,87,USA,7,316
I figli del secolo,1953,100,USA,6.3,697
Notturno selvaggio,1953,78,USA,5.8,526
The Neanderthal Man,1953,78,USA,4.5,529
Le frontiere dei Sioux,1953,68,USA,4.8,182
Niagara,1953,92,USA,7,14572
No Escape,1953,76,USA,5.6,287
Polizia militare,1952,89,USA,6.3,307
Confessione di una ragazza,1953,74,USA,6.5,378
Paris Model,1953,81,USA,4.8,122
Le avventure di Peter Pan,1953,77,USA,7.3,123085
Il fantasma dello spazio,1953,73,USA,4.2,1065
Mano pericolosa,1953,80,USA,7.7,12580
Planet Outlaws,1953,71,USA,3.8,327
I saccheggiatori del sole,1953,81,USA,6.5,572
Pony Express,1953,101,USA,5.9,1088
Sangue sul fiume,1953,78,USA,6.4,219
Schiava e signora,1953,96,USA,6.9,675
La spada del deserto,1953,78,USA,5.2,113
Private Eyes,1953,64,USA,6.2,291
Project Moon Base,1953,63,USA,3.2,965
I pirati dei sette mari,1953,88,USA,5.7,381
La porta del mistero,1953,88,USA,6.1,193
Samoa,1953,100,USA,6.1,515
Cavalca vaquero!,1953,90,USA,6.1,853
Esploratori dell'infinito,1954,81,USA,5.5,683
La tunica,1953,135,USA,6.7,9099
Robot Monster,1953,66,USA,3,4467
Vacanze romane,1953,118,USA,8,124684
Saadia,1953,82,USA,5.5,115
Ho sposato un pilota,1953,90,USA,5.3,127
Safari Drums,1953,71,USA,5.5,130
Salomè,1953,103,USA,5.9,1551
I pascoli d'oro,1953,90,USA,5.9,111
Sangaree,1953,94,USA,6.5,164
I ribelli dell'isola,1953,73,USA,6.5,207
L'orfana senza sorriso,1953,90,USA,6.7,441
Morti di paura,1953,108,USA,6.5,1664
Duello sulla Sierra Madre,1953,82,USA,6,867
Seminole,1953,87,USA,6.2,970
Gli amori di Cleopatra,1953,81,USA,5.1,174
Il cavaliere della valle solitaria,1953,118,USA,7.6,36277
Virginia dieci in amore,1953,95,USA,5.9,147
La frusta d'argento,1953,73,USA,6.6,241
Napoletani a Bagdad,1953,73,USA,5.5,178
A Slight Case of Larceny,1953,71,USA,6.2,194
Amore provinciale,1953,92,USA,6.3,600
Solo per te ho vissuto,1953,101,USA,6.7,597
Sogno di boheme,1953,101,USA,6.2,187
Sombrero,1953,103,USA,5.4,267
Son of the Renegade,1953,56,USA,5.4,152
Il sergente Bum!,1953,99,USA,6.4,646
Prigionieri della città deserta,1953,85,USA,6.9,1349
Stalag 17,1953,120,USA,8,50292
L'ultimo dei comanches,1953,77,USA,5.6,222
Il segreto del Sahara,1953,84,USA,6.6,252
Storia di tre amori,1953,122,USA,7,1074
Lo straniero ha sempre una pistola,1953,83,USA,5.9,963
Il sole splende alto,1953,90,USA,7,1304
Portami in città,1953,81,USA,6.4,261
Femmina contesa,1953,101,USA,6.1,815
Tarzan e i cacciatori d'avorio,1953,75,USA,5.6,469
Test Tube Babies,1948,70,USA,2.8,257
Teste rosse,1953,90,USA,5.8,216
Three Sailors and a Girl,1953,95,USA,6.2,315
La baia del tuono,1953,103,USA,6.5,1506
Per la vecchia bandiera,1953,82,USA,6.6,673
Bagliori ad oriente,1952,97,USA,6.3,276
Titanic,1953,98,USA,7,6187
Parata di splendore,1953,109,USA,5.8,103
Top Banana,1954,100,USA,5.5,248
La maschera e il cuore,1953,90,USA,5.5,1098
Immersione rapida,1952,84,USA,6,145
Il tesoro dei condor,1953,93,USA,6.2,361
Il giustiziere dei tropici,1953,94,USA,4.8,154
L'irresistibile Mr. John,1953,111,USA,6.8,1579
Il tiranno di Glen,1954,91,USA,5.6,224
I senza legge,1953,79,USA,6.7,675
The Twonky,1953,84,USA,5.5,504
Armando e Michaela Denis fra i cacciatori di teste,1953,67,USA,6.7,223
La primula rossa del Sud,1953,84,USA,5.6,155
Squadra omicidi,1953,88,USA,6.6,520
Hanno ucciso Vicki,1953,85,USA,6.5,869
Violated,1953,78,USA,5.3,104
Walking My Baby Back Home,1953,95,USA,6.1,117
Il maggiore Brady,1953,78,USA,5.9,697
Pantera rossa,1953,89,USA,5.8,324
La guerra dei mondi,1953,85,USA,7.1,32053
Tempeste sul Congo,1953,96,USA,6.1,586
Wild Women,1951,62,USA,3.9,147
Le ali del falco,1953,81,USA,6,191
La donna che volevano linciare,1953,90,USA,6.7,275
La regina vergine,1953,112,USA,6.7,1399
20.000 leghe sotto i mari,1954,127,USA,7.2,28578
Addio signora Leslie,1954,104,USA,7.1,562
Le avventure di Hajji Babà,1954,94,USA,6,457
Nei mari dell'Alaska,1954,78,USA,6.1,120
L'ultimo Apache,1954,91,USA,6.4,3870
La freccia nella polvere,1954,79,USA,5.6,341
Athena e le 7 sorelle,1954,95,USA,6,429
Atomicofollia,1954,86,USA,5.2,269
Bait,1954,79,USA,6,230
The Bamboo Prison,1954,79,USA,6.2,177
La battaglia di Fort River,1954,71,USA,5.7,208
Missione suicidio,1954,90,USA,5.8,888
I fucilieri del Bengala,1954,87,USA,5.6,373
Controspionaggio,1954,108,USA,6.1,1078
Gli sterminatori della prateria,1954,65,USA,5.4,204
Furia nera,1954,81,USA,6.3,294
Lo scudo dei Falworth,1954,99,USA,6.5,1542
Pioggia di piombo,1954,80,USA,6.5,297
L'amante sconosciuto,1954,95,USA,6.7,2227
The Bob Mathias Story,1954,80,USA,5.8,102
La fine di un tiranno,1954,80,USA,6.2,336
Cacciatori di frontiera,1954,79,USA,6.6,786
The Bowery Boys Meet the Monsters,1954,65,USA,6.2,598
Lo sceriffo senza pistola,1954,87,USA,5.8,315
I ponti di Toko Ri,1954,102,USA,6.7,5126
La lancia che uccide,1954,96,USA,6.9,3340
Proiettile in canna,1954,90,USA,5.5,262
L'ammutinamento del Caine,1954,124,USA,7.7,23931
I divoratori della giungla,1954,69,USA,7.1,214
Il tesoro di capitan Kid,1954,82,USA,5.2,118
Carmen Jones,1954,105,USA,6.8,4487
La grande notte di Casanova,1954,86,USA,6.8,918
La regina del Far West,1954,88,USA,5.6,773
L'invasore bianco,1954,94,USA,6.5,463
La ragazza di campagna,1954,104,USA,7.3,5321
Il mostro della laguna nera,1954,79,USA,7,25643
La città spenta,1953,73,USA,7.4,3260
Cry Vengeance,1954,82,USA,6.5,454
Agente federale X3,1954,75,USA,5.8,586
Alba di fuoco,1954,80,USA,6.4,413
Così parla il cuore,1954,132,USA,6.3,724
I gladiatori,1954,101,USA,6.6,3343
Désirée,1954,110,USA,6.4,2603
Desperado,1954,80,USA,6.5,105
Storia di Tom Destry,1954,95,USA,6.7,1145
Il delitto perfetto,1954,105,USA,8.2,153300
Detective G. sezione criminale,1955,70,USA,6.3,128
Squadra investigativa,1954,85,USA,6.7,785
Mandato di cattura,1954,88,USA,6.7,776
Il terrore corre sull'autostrada,1954,83,USA,6.9,1007
Rullo di tamburi,1954,111,USA,6.4,756
Al di là del fiume,1954,78,USA,6.3,751
Sinuhe l'egiziano,1954,139,USA,6.6,3465
La pista degli elefanti,1953,103,USA,6.3,2087
La sete del potere,1954,104,USA,7.4,3507
The Fast and the Furious,1954,73,USA,5.4,1169
Malaga,1954,84,USA,5.1,210
La fiamma e la carne,1954,104,USA,5.8,100
I desperados della frontiera,1954,83,USA,6.1,347
Francis Joins the WACS,1954,95,USA,6.8,307
La linea francese,1953,102,USA,5.3,503
Giocatore d'azzardo,1954,88,USA,6.8,197
Il prigioniero della miniera,1954,100,USA,6.7,2980
La storia di Glenn Miller,1954,115,USA,7.3,7829
Go Man Go,1954,82,USA,6.6,107
Attacco alla base spaziale US,1954,83,USA,5.5,1088
The Golden Idol,1954,71,USA,5.5,120
Gorilla in fuga,1954,83,USA,5.4,521
Fuoco verde,1954,100,USA,5.9,1164
Zingaro,1954,72,USA,6.4,204
Operazione mistero,1954,103,USA,6.2,1553
La casbah di Honolulu,1954,90,USA,6.3,388
