title,year,duration,country,avg_vote,votes
Il fantasma dell'opera,1989,93,"USA, UK, Hungary",5.5,3630
Eragon,2006,104,"USA, UK, Hungary",5.1,120776
Die Hard - Un buon giorno per morire,2013,98,"USA, UK, Hungary",5.3,195632
Blood and Chocolate - La caccia al licantropo è aperta,2007,98,"USA, UK, Germany, Romania",5.4,17086
The Defender,2004,90,"USA, UK, Germany, Romania",4.9,1535
Alexander,2004,175,"USA, UK, Germany, Netherlands, France, Italy, Morocco, Thailand",5.6,160399
Virus,1999,99,"USA, UK, Germany, Japan, France",5,26145
Contaminated Man,2000,100,"USA, UK, Germany, Hungary",4.9,1023
Underworld,2003,121,"USA, UK, Germany, Hungary",7,249383
Tristano & Isotta,2006,125,"USA, UK, Germany, Czech Republic",6.8,50035
Helen,2009,120,"USA, UK, Germany, Canada",6.3,1882
Hitman: Agent 47,2015,96,"USA, UK, Germany, Canada",5.7,84260
Le ali ai piedi,1998,83,"USA, UK, Germany",6.1,371
Entrapment,1999,113,"USA, UK, Germany",6.3,105339
Ghost World,2001,111,"USA, UK, Germany",7.3,111652
Never Better,2001,94,"USA, UK, Germany",6.2,7725
Indagini sporche - Dark Blue,2002,118,"USA, UK, Germany",6.6,20232
Se ti investo mi sposi?,2004,90,"USA, UK, Germany",5.2,2595
Jarhead,2005,125,"USA, UK, Germany",7,173187
V per Vendetta,2005,132,"USA, UK, Germany",8.2,1009729
Mamma Mia!,2008,108,"USA, UK, Germany",6.4,210500
Tropic Thunder,2008,107,"USA, UK, Germany",7,371908
Hanna,2011,111,"USA, UK, Germany",6.8,188093
La vita nascosta - Hidden Life,2019,174,"USA, UK, Germany",7.4,14884
Ingannevole è il cuore più di ogni cosa,2004,98,"USA, UK, France, Japan",6.4,6332
Spy,2015,120,"USA, UK, France, Hungary, Germany",7,225974
The Jackal,1997,124,"USA, UK, France, Germany, Japan",6.4,104727
Black Dog,1998,89,"USA, UK, France, Germany, Japan",5.5,8296
Bling Ring,2013,90,"USA, UK, France, Germany, Japan",5.6,82055
Veronica Mars - Il film,2014,107,"USA, UK, France, Germany",6.8,49767
L'uomo sul treno,2018,104,"USA, UK, France, China, Canada",6.3,99769
The Hours,2002,110,"USA, UK, France, Canada, Germany",7.5,122422
La mosca 2,1989,105,"USA, UK, France",5.1,20933
Amleto,1990,135,"USA, UK, France",6.7,21019
Thelma & Louise,1991,130,"USA, UK, France",7.5,132924
Amateur,1994,105,"USA, UK, France",6.9,5555
40 giorni & 40 notti,2002,96,"USA, UK, France",5.6,69669
Nanny McPhee - Tata Matilda,2005,97,"USA, UK, France",6.5,66040
State of Play,2009,127,"USA, UK, France",7.1,132604
United 93,2006,111,"USA, UK, France",7.5,97070
Doogal,2006,85,"USA, UK, France",2.8,4533
Sogni e delitti,2007,108,"USA, UK, France",6.7,49553
Burn After Reading - A prova di spia,2008,96,"USA, UK, France",7,304043
A Serious Man,2009,106,"USA, UK, France",7,130794
Wild Child,2008,98,"USA, UK, France",6.1,48071
Una ragazza a Las Vegas,2012,94,"USA, UK, France",4.8,10995
Contraband,2012,109,"USA, UK, France",6.5,115327
127 ore,2010,94,"USA, UK, France",7.5,342311
"Freeheld: Amore, giustizia, uguaglianza",2015,103,"USA, UK, France",6.6,11431
A proposito di Davis,2013,104,"USA, UK, France",7.5,135904
Dark Places - Nei luoghi oscuri,2015,113,"USA, UK, France",6.2,41283
Still Alice,2014,101,"USA, UK, France",7.5,124366
Good People,2014,90,"USA, UK, Denmark, Sweden",5.5,15257
Pioggia infernale,1998,97,"USA, UK, Denmark, France, Japan, New Zealand, Germany, Australia",5.9,31649
Alien vs. Predator,2004,101,"USA, UK, Czech Republic, Canada, Germany",5.6,181945
Amori in corsa,2004,101,"USA, UK, Czech Republic",6.1,35673
Psych:9,2010,98,"USA, UK, Czech Republic",4.4,2115
Profile,2018,105,"USA, UK, Cyprus, Russia",7.2,355
John Wick,2014,101,"USA, UK, China",7.4,520351
C'era una volta a... Hollywood,2019,161,"USA, UK, China",7.6,507214
Bambini Impossibili,1992,70,"USA, UK, Canada, Taiwan",5.8,4674
Superman,1978,143,"USA, UK, Canada, Switzerland",7.3,156397
Scott Pilgrim vs. the World,2010,112,"USA, UK, Canada, Japan",7.5,368833
Il settimo figlio,2014,102,"USA, UK, Canada, China",5.5,70013
Superman II,1980,127,"USA, UK, Canada",6.8,96447
La mosca,1986,96,"USA, UK, Canada",7.6,155577
The believers: I credenti del male,1987,114,"USA, UK, Canada",6.1,6085
Da morire,1995,106,"USA, UK, Canada",6.8,42834
Scelte d'onore - Wise Girls,2002,96,"USA, UK, Canada",5.8,2793
Hairspray: Grasso è bello,2007,117,"USA, UK, Canada",6.6,118172
Noi due sconosciuti,2007,118,"USA, UK, Canada",7.2,27417
BoyGirl - Questione di... sesso,2006,95,"USA, UK, Canada",6.3,38783
Interstellar,2014,169,"USA, UK, Canada",8.6,1449256
L'alba del pianeta delle scimmie,2011,105,"USA, UK, Canada",7.6,490488
Le streghe di Salem,2012,101,"USA, UK, Canada",5.1,26992
X-Men - Giorni di un futuro passato,2014,132,"USA, UK, Canada",8,650414
Sinister,2012,110,"USA, UK, Canada",6.8,213774
Apes Revolution - Il pianeta delle scimmie,2014,130,"USA, UK, Canada",7.6,406657
Sinister 2,2015,97,"USA, UK, Canada",5.3,46909
Extraction,2015,92,"USA, UK, Canada",4.1,9831
Maleficent - Signora del male,2019,119,"USA, UK, Canada",6.6,76696
Destinazione matrimonio,2018,87,"USA, UK, Canada",6,23413
Hellboy,2019,120,"USA, UK, Bulgaria, Canada, Portugal, France",5.2,74561
Prowl,2010,84,"USA, UK, Bulgaria",4.6,4656
Criminal,2016,113,"USA, UK, Bulgaria",6.3,57738
Skate Kitchen,2018,106,"USA, UK, Brazil",6.8,3373
Miss Peregrine - La casa dei ragazzi speciali,2016,127,"USA, UK, Belgium, Canada",6.7,151879
Segnali dal futuro,2009,121,"USA, UK, Australia, China",6.2,217720
Dumbo,2019,112,"USA, UK, Australia, Canada",6.3,62609
Scontro tra titani,2010,106,"USA, UK, Australia",5.8,267178
Saving Mr. Banks,2013,125,"USA, UK, Australia",7.5,149140
Pan - Viaggio sull'isola che non c'è,2015,111,"USA, UK, Australia",5.7,59211
First Reformed - La creazione a rischio,2017,113,"USA, UK, Australia",7.1,45297
Il libro della giungla,1942,108,"USA, UK",6.7,3698
Amarti è la mia dannazione,1948,112,"USA, UK",6.9,538
La rosa nera,1950,120,"USA, UK",6.3,1775
Il corsaro dell'isola verde,1952,105,"USA, UK",7.3,5646
Santa Giovanna,1957,110,"USA, UK",6.4,1070
La sfida del terzo uomo,1959,107,"USA, UK",7.1,784
Curse of the Voodoo,1965,77,"USA, UK",3.1,164
La maschera della morte rossa,1964,89,"USA, UK",7,11973
La tomba di Ligeia,1964,82,"USA, UK",6.6,5206
Dolci vizi al foro,1966,99,"USA, UK",6.9,8229
Un milione di anni fa,1966,100,"USA, UK",5.7,7580
Macellai,1970,79,"USA, UK",2.7,398
Desperate Characters,1971,97,"USA, UK",6.1,238
Eagle in a Cage,1972,98,"USA, UK",5.9,133
L'uomo con 2 teste,1972,80,"USA, UK",3.9,177
L'invasione degli ultratopi,1972,91,"USA, UK",3.4,311
92 gradi all'ombra,1975,93,"USA, UK",6.3,413
Capricorn One,1977,123,"USA, UK",6.9,19769
Il boxeur e la ballerina,1978,105,"USA, UK",6.4,968
The Elephant Man,1980,124,"USA, UK",8.1,214473
Il pollo si mangia con le mani,1981,92,"USA, UK",5.7,2480
Il drago del lago di fuoco,1981,108,"USA, UK",6.7,14686
Excalibur,1981,140,"USA, UK",7.4,56299
Crazy runners - quei pazzi pazzi sulle autostrade,1981,107,"USA, UK",5.2,904
La leggenda di Lone Ranger,1981,98,"USA, UK",5.1,1832
Dark Crystal,1982,93,"USA, UK",7.2,60913
Electric Dreams,1984,95,"USA, UK",6.5,6813
Taron e la pentola magica,1985,80,"USA, UK",6.4,30569
La mia Africa,1985,161,"USA, UK",7.2,70818
Aliens - Scontro finale,1986,137,"USA, UK",8.3,639500
Hollywood Vice Squad,1986,101,"USA, UK",4.7,414
Platoon,1986,120,"USA, UK",8.1,373386
Le relazioni pericolose,1988,119,"USA, UK",7.6,63354
Terra promessa,1987,102,"USA, UK",5.7,1198
Soprannaturale,1988,102,"USA, UK",5,1512
Batman,1989,126,"USA, UK",7.5,332356
Communion,1989,107,"USA, UK",5.6,5399
Balla coi lupi,1990,181,"USA, UK",8,235155
Terzo grado,1990,132,"USA, UK",6.6,5190
Thousand Pieces of Gold,1990,105,"USA, UK",6.9,549
Barton Fink - È successo a Hollywood,1991,116,"USA, UK",7.7,110912
Un mitico viaggio,1991,93,"USA, UK",6.3,64273
Va' all'inferno Fred,1991,103,"USA, UK",6,26469
Mississippi Masala,1991,118,"USA, UK",6.6,4660
Robin Hood - Principe dei ladri,1991,143,"USA, UK",6.9,174948
Sotto massima sorveglianza,1991,101,"USA, UK",5.9,7734
Whore (Puttana),1991,85,"USA, UK",5.6,3409
Batman - Il ritorno,1992,126,"USA, UK",7,269035
Bob Roberts,1992,102,"USA, UK",7,12975
Candyman - Terrore dietro lo specchio,1992,99,"USA, UK",6.6,68119
Hellraiser III - Inferno sulla città,1992,97,"USA, UK",5.5,26806
Juice,1992,95,"USA, UK",7.1,23405
Festa in casa Muppet,1992,85,"USA, UK",7.7,46386
Vite sospese,1992,132,"USA, UK",6.5,8967
Harry e Kit,1993,90,"USA, UK",5.7,786
Waxwork 2 - Bentornati al museo delle cere,1992,104,"USA, UK",5.5,3929
Alter ego,1993,104,"USA, UK",4.3,3258
Come difendersi dalla mamma,1993,93,"USA, UK",6,1811
Sulle orme del vento,1993,100,"USA, UK",6.6,3294
Fear of a Black Hat,1993,88,"USA, UK",7.2,3797
Mi vida loca,1993,92,"USA, UK",6.5,1928
Quel che resta del giorno,1993,134,"USA, UK",7.8,64018
Dragonworld,1994,86,"USA, UK",5.5,483
Pericolosamente,1993,95,"USA, UK",3,430
Balto,1995,78,"USA, UK",7.1,38920
Batman Forever,1995,121,"USA, UK",5.4,231670
L'inferno nello specchio (Candyman 2),1995,95,"USA, UK",5.3,10248
Festa di luglio,1995,116,"USA, UK",6.1,491
Il primo cavaliere,1995,134,"USA, UK",6,66646
Il signore delle illusioni,1995,109,"USA, UK",6.1,14339
Man of the Year,1995,86,"USA, UK",5.8,312
Othello,1995,123,"USA, UK",6.9,8906
Restoration - Il peccato e il castigo,1995,117,"USA, UK",6.6,8768
Savage Hearts,1995,107,"USA, UK",4.8,175
Ragione e sentimento,1995,136,"USA, UK",7.6,99493
Tank Girl,1995,104,"USA, UK",5.4,29771
Xtro 3: Watch the Skies,1995,90,"USA, UK",3.6,926
La carica dei 101 - Questa volta la magia è vera,1996,103,"USA, UK",5.7,99284
Blood and Wine,1996,101,"USA, UK",6,9046
The Disappearance of Kevin Johnson,1996,105,"USA, UK",5.4,237
Il paziente inglese,1996,162,"USA, UK",7.4,175462
Fargo,1996,98,"USA, UK",8.1,600952
Omicidio a New Orleans,1996,132,"USA, UK",5.8,4951
Hellraiser - La stirpe maledetta,1996,85,"USA, UK",5.2,18835
Keys to Tulsa,1997,113,"USA, UK",5.2,1550
Mary Reilly,1996,108,"USA, UK",5.8,13852
Never Ever,1996,110,"USA, UK",4.5,122
Libertà vigilata,1996,99,"USA, UK",6.8,1323
L'Albatross - Oltre la tempesta,1996,129,"USA, UK",6.6,20811
Otto teste e una valigia,1997,95,"USA, UK",5.4,9544
Batman & Robin,1997,125,"USA, UK",3.7,230579
Best Men - Amici per la pelle,1997,90,"USA, UK",5.6,2649
Il grande Lebowski,1998,117,"USA, UK",8.1,713883
Soldato Jane,1997,125,"USA, UK",5.9,72116
"Other Voices, Other Rooms",1995,94,"USA, UK",6.3,168
Sette anni in Tibet,1997,136,"USA, UK",7.1,124739
Soldier,1998,99,"USA, UK",6,51005
Le ali dell'amore,1997,102,"USA, UK",7.1,10214
Demoni e dei,1998,105,"USA, UK",7.3,28872
Genitori in trappola,1998,128,"USA, UK",6.5,117551
La sposa cadavere,2005,77,"USA, UK",7.3,237421
La perdita dell'innocenza,1999,106,"USA, UK",5.4,3053
Shakespeare in Love,1998,123,"USA, UK",7.1,210981
Una passione spezzata,1999,92,"USA, UK",6.5,774
Miss Monday,1998,90,"USA, UK",6.3,186
The Beach,2000,119,"USA, UK",6.7,219346
Haunting - Presenze,1999,113,"USA, UK",5,70086
Miss Julie,1999,103,"USA, UK",6.2,1435
Newsbreak,2000,94,"USA, UK",4.5,119
All Forgotten,2001,106,"USA, UK",4.9,684
Beautiful Joe,2000,98,"USA, UK",5.8,2164
Four Play,2001,87,"USA, UK",5,610
The Testimony of Taliesin Jones,2000,93,"USA, UK",6.1,239
Beautiful - Una vita da miss,2000,112,"USA, UK",5.6,3631
La carica dei 102 - Un nuovo colpo di coda,2000,100,"USA, UK",4.9,34086
A.I. - Intelligenza artificiale,2001,146,"USA, UK",7.2,286428
Cl.One,2005,112,"USA, UK",3.2,163
Ed Gein - Il macellaio di Plainfield,2000,89,"USA, UK",5.5,5018
Pretty Princess,2001,111,"USA, UK",6.3,125180
Killing Me Softly - Uccidimi dolcemente,2002,100,"USA, UK",5.5,16887
Possession - Una storia romantica,2002,102,"USA, UK",6.3,12658
Black Hawk Down - Black Hawk abbattuto,2001,144,"USA, UK",7.7,358188
Below,2002,105,"USA, UK",6.1,20706
Insomnia,2002,118,"USA, UK",7.2,269304
Una ragazza e il suo sogno,2003,105,"USA, UK",5.8,58492
Jonah: Un film dei Verdurini,2002,82,"USA, UK",6.5,3819
Neverland - Un sogno per la vita,2004,106,"USA, UK",7.7,196369
I'll Be There,2003,105,"USA, UK",6.4,1442
Il genio della truffa,2003,116,"USA, UK",7.3,122129
Showboy,2002,93,"USA, UK",5.2,302
Thirteen - 13 anni,2003,100,"USA, UK",6.8,78564
If Only,2004,92,"USA, UK",7.2,31093
Die Hard - Vivere o morire,2007,128,"USA, UK",7.1,384059
Grand Theft Parsons,2003,88,"USA, UK",6,3324
Agente Cody Banks 2 - Destinazione Londra,2004,100,"USA, UK",4.6,13861
I sogni segreti di Walter Mitty,2013,114,"USA, UK",7.3,288525
Identità violate,2004,103,"USA, UK",6.3,78956
The Fever,2004,83,"USA, UK",5.9,1044
Un amore in prestito,2005,90,"USA, UK",6.2,47567
Batman Begins,2005,140,"USA, UK",8.2,1278075
The Rum Diary - Cronache di una passione,2011,119,"USA, UK",6.2,97842
Closer,2004,104,"USA, UK",7.2,199832
Goal!,2005,118,"USA, UK",6.7,59626
The Football Factory,2004,91,"USA, UK",6.8,28289
Gumball 3000: The Movie,2003,100,"USA, UK",6.5,440
Derailed - Attrazione letale,2005,108,"USA, UK",6.6,70124
Un'ottima annata - A Good Year,2006,117,"USA, UK",7,86962
The New World - Il nuovo mondo,2005,135,"USA, UK",6.7,81800
Gambit - Una truffa a regola d'arte,2012,89,"USA, UK",5.7,23208
Sweeney Todd - Il diabolico barbiere di Fleet Street,2007,116,"USA, UK",7.3,337635
Me and You and Everyone We Know,2005,91,"USA, UK",7.3,34614
Alpha Male,2006,100,"USA, UK",5.5,317
A-Team,2010,117,"USA, UK",6.7,243142
Fantastic Mr. Fox,2009,87,"USA, UK",7.9,193078
Kinky Boots - Decisamente diversi,2005,107,"USA, UK",7.1,18037
La leggenda di Beowulf,2007,115,"USA, UK",6.2,159693
Borat: Studio culturale sull'America a beneficio della gloriosa nazione del Kazakistan,2006,84,"USA, UK",7.3,346660
Across the Universe,2007,133,"USA, UK",7.3,105047
Déjà vu - Corsa contro il tempo,2006,126,"USA, UK",7,288673
Amazing Grace,2006,118,"USA, UK",7.4,23656
Quando tutto cambia,2007,100,"USA, UK",6,9522
X-Men: le origini - Wolverine,2009,107,"USA, UK",6.6,459736
Stories of Lost Souls,2005,90,"USA, UK",5.5,747
Il cavaliere oscuro,2008,152,"USA, UK",9,2241615
Bernard & Doris - Complici amici,2006,102,"USA, UK",6.5,3592
Plutonio 239 - Pericolo invisibile,2006,97,"USA, UK",6.9,3531
Permanent Vacation,2007,94,"USA, UK",3.3,172
Nailed,2006,90,"USA, UK",4.1,485
Wristcutters - Una storia d'amore,2006,88,"USA, UK",7.3,53187
Una notte al museo,2006,108,"USA, UK",6.4,307074
Blind Date,2007,80,"USA, UK",5.8,839
Wind Chill - Ghiaccio rosso sangue,2007,91,"USA, UK",5.8,21495
Nessuna verità,2008,128,"USA, UK",7.1,210202
American Gangster,2007,157,"USA, UK",7.8,383688
L'uomo d'acciaio,2013,143,"USA, UK",7,678921
Prossima fermata: l'inferno,2008,98,"USA, UK",6,58939
Un cuore grande,2007,108,"USA, UK",6.6,26637
L'ultima casa a sinistra,2009,110,"USA, UK",6.5,84103
KillerKiller,2007,76,"USA, UK",3.4,255
Un amore di testimone,2008,101,"USA, UK",5.9,66645
Brüno,2009,81,"USA, UK",5.8,139029
Recon 7 Down,2007,84,"USA, UK",3.4,127
Robin Hood,2010,140,"USA, UK",6.6,249741
Revolutionary Road,2008,119,"USA, UK",7.3,192030
Hitchcock,2012,98,"USA, UK",6.8,71041
Le cronache di Narnia - Il viaggio del veliero,2010,113,"USA, UK",6.3,138442
The Protector,2019,126,"USA, UK",5.5,401
Alice in Wonderland,2010,108,"USA, UK",6.4,376706
Argo,2012,120,"USA, UK",7.7,563198
Shoot on Sight,2007,110,"USA, UK",6.1,1604
Una parola può cambiare tutto - Yes Man,2008,104,"USA, UK",6.8,329778
The Prince - Tempo di uccidere,2014,93,"USA, UK",4.6,17298
Lone Survivor,2013,121,"USA, UK",7.5,261546
Paul,2011,104,"USA, UK",7,231589
Pelham 1 2 3 - Ostaggi in metropolitana,2009,106,"USA, UK",6.4,183216
Accidental Love,2015,100,"USA, UK",4.1,7625
American Life,2009,98,"USA, UK",7,51293
Princess Ka'iulani,2009,130,"USA, UK",6.2,1546
Diario di una schiappa,2010,120,"USA, UK",6.2,41732
London Boulevard,2010,103,"USA, UK",6.2,46085
Ribelle: The Brave,2012,93,"USA, UK",7.1,364295
Il quarto tipo,2009,98,"USA, UK",5.9,72823
L'uomo che fissa le capre,2009,94,"USA, UK",6.2,125633
X-Men - L'inizio,2011,131,"USA, UK",7.7,636920
Isolated,2013,85,"USA, UK",6.2,164
The Strangers: Prey at Night,2018,85,"USA, UK",5.2,25927
Pirati dei Caraibi - Oltre i confini del mare,2011,137,"USA, UK",6.6,472435
Black Mass - L'ultimo gangster,2015,123,"USA, UK",6.9,164665
Thomas & Friends: The Great Discovery - The Movie,2008,60,"USA, UK",6.4,169
PPZ: Pride and Prejudice and Zombies,2016,108,"USA, UK",5.8,50166
Inception,2010,148,"USA, UK",8.8,2002816
"Amici, amanti e...",2011,108,"USA, UK",6.2,209640
The Imperialists Are Still Alive!,2010,90,"USA, UK",6,207
Wolverine - L'immortale,2013,126,"USA, UK",6.7,422312
Qualcosa di straordinario,2012,107,"USA, UK",6.5,18452
The American,2010,105,"USA, UK",6.3,90601
Prometheus,2012,124,"USA, UK",7,560484
Halloween,2018,106,"USA, UK",6.6,112488
Sherlock Holmes - Gioco di ombre,2011,129,"USA, UK",7.5,413820
One Day,2011,107,"USA, UK",7,135709
Age of the Dragons,2011,91,"USA, UK",3.4,4246
Operazione U.N.C.L.E.,2015,116,"USA, UK",7.3,262622
Cenerentola,2015,105,"USA, UK",6.9,155645
Vampire Academy,2014,104,"USA, UK",5.5,51108
Vinyl,2012,85,"USA, UK",6,698
Desiree,2014,93,"USA, UK",5,170
Come ti spaccio la famiglia,2013,110,"USA, UK",7,395325
Il fidanzato di mia sorella,2014,99,"USA, UK",5.7,13372
Biancaneve e il cacciatore,2012,127,"USA, UK",6.1,269500
No One Lives,2012,86,"USA, UK",6,18425
Il luogo delle ombre,2013,100,"USA, UK",6.8,46873
Maze Runner - Il labirinto,2014,113,"USA, UK",6.8,408789
The Thompsons,2012,82,"USA, UK",4.7,2165
You're Next,2011,95,"USA, UK",6.6,85735
Nonno scatenato,2016,102,"USA, UK",5.9,110705
12 anni schiavo,2013,134,"USA, UK",8.1,624629
Starlet,2012,103,"USA, UK",6.8,6742
Una noche,2012,90,"USA, UK",6.8,1795
La quinta onda,2016,112,"USA, UK",5.2,97569
Alien: Covenant,2017,122,"USA, UK",6.4,248096
The Gateway Meat,2008,69,"USA, UK",3.7,137
November Man,2014,108,"USA, UK",6.3,62277
